Province,Year_BE,ICD_Code,Disease_Group_TH,Disease_Group_EN,Total_Patients,Total_Visits,Civil_Servant_Patients,Civil_Servant_Visits,Social_Security_Patients,Social_Security_Visits,Universal_Coverage_Patients,Universal_Coverage_Visits,Foreigner_Patients,Foreigner_Visits,Other_Scheme_Patients,Other_Scheme_Visits
อำนาจเจริญ,2569,F17,เสพบุหรี่,Tobacco_Substance_Use,128,256,7,11,8,16,114,229,0,0,0,0
อำนาจเจริญ,2569,F20,โรคจิตเภท,Schizophrenia,2579,8685,73,232,40,83,2473,8352,0,0,16,18
อำนาจเจริญ,2569,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,3228,10289,94,278,67,156,3078,9836,0,0,17,19
อำนาจเจริญ,2569,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,1654,4048,169,420,118,285,1377,3321,1,4,10,18
อำนาจเจริญ,2569,F31,ไบโพล่า,Bipolar_Disorder,118,320,12,33,10,35,98,251,0,0,1,1
อำนาจเจริญ,2569,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,1532,3719,156,386,109,249,1275,3063,1,4,9,17
อำนาจเจริญ,2569,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,1787,3820,251,532,93,189,1447,3085,0,0,11,14
อำนาจเจริญ,2569,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,1657,3221,302,552,45,80,1308,2568,2,4,8,17
อำนาจเจริญ,2569,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,35,100,0,0,1,1,34,99,0,0,0,0
อำนาจเจริญ,2569,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,140,331,0,0,1,2,139,329,0,0,0,0
อำนาจเจริญ,2569,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,401,888,10,22,1,2,387,857,0,0,3,7
อำนาจเจริญ,2569,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,83,132,1,1,0,0,82,131,0,0,0,0
อำนาจเจริญ,2569,F84,โรคออติสติก,Autism_Spectrum_Disorder,166,413,7,19,1,2,157,391,0,0,1,1
อำนาจเจริญ,2569,F90,โรคสมาธิสั้น,ADHD,837,2212,35,75,0,0,801,2136,0,0,1,1
อำนาจเจริญ,2569,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,866,2267,39,82,2,3,824,2181,0,0,1,1
อำนาจเจริญ,2569,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,3,5,0,0,1,1,2,4,0,0,0,0
อำนาจเจริญ,2569,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,58,65,5,6,2,2,51,57,0,0,0,0
อุบลราชธานี,2565,F00-F03,โรคสมองเสื่อม,Dementia,1597,4462,637,1967,37,95,854,2223,5,6,85,171
อุบลราชธานี,2565,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,3477,9993,918,2766,98,251,2292,6517,10,12,209,447
อุบลราชธานี,2565,F10,เสพสุรา,Alcohol_Substance_Use,6798,19218,405,1067,552,1204,5434,15596,10,10,654,1341
อุบลราชธานี,2565,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,13658,45374,537,1456,965,3646,11245,36574,18,32,1492,3666
อุบลราชธานี,2565,F17,เสพบุหรี่,Tobacco_Substance_Use,2964,9246,87,220,267,511,2419,7692,4,13,285,810
อุบลราชธานี,2565,F20,โรคจิตเภท,Schizophrenia,13272,59816,389,1701,423,1582,11827,53848,56,153,940,2532
อุบลราชธานี,2565,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,17564,76053,642,2754,637,2248,15356,67407,73,189,1426,3455
อุบลราชธานี,2565,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,11926,42729,1377,5120,723,2457,9123,32581,48,114,1159,2457
อุบลราชธานี,2565,F31,ไบโพล่า,Bipolar_Disorder,1150,5358,184,925,82,350,818,3801,5,20,118,262
อุบลราชธานี,2565,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,10825,37361,1200,4187,643,2101,8341,28787,43,94,1043,2192
อุบลราชธานี,2565,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,16555,42153,2125,5719,1016,2453,12362,31390,123,228,1328,2363
อุบลราชธานี,2565,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,9484,18049,1757,3465,431,729,7059,13437,28,41,261,377
อุบลราชธานี,2565,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,362,1029,25,46,12,33,234,807,0,0,99,143
อุบลราชธานี,2565,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,1348,5705,50,180,20,78,1202,5150,4,8,99,289
อุบลราชธานี,2565,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,2402,9002,244,1065,182,563,1922,7016,2,2,182,356
อุบลราชธานี,2565,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,325,960,25,80,10,34,276,778,0,0,23,68
อุบลราชธานี,2565,F84,โรคออติสติก,Autism_Spectrum_Disorder,1085,5865,155,829,43,230,843,4592,0,0,116,214
อุบลราชธานี,2565,F90,โรคสมาธิสั้น,ADHD,4639,16128,480,1943,95,417,3931,13198,6,10,277,560
อุบลราชธานี,2565,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,4918,16963,524,2063,107,472,4133,13773,7,11,312,644
อุบลราชธานี,2565,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,36,93,0,0,2,3,34,89,0,0,1,1
อุบลราชธานี,2565,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,434,606,15,19,21,34,331,469,0,0,75,84
อุบลราชธานี,2566,F00-F03,โรคสมองเสื่อม,Dementia,1872,4859,711,2024,37,94,1048,2561,12,21,79,159
อุบลราชธานี,2566,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,4073,10915,983,2774,112,290,2804,7373,29,41,195,437
อุบลราชธานี,2566,F10,เสพสุรา,Alcohol_Substance_Use,6307,16890,431,1094,489,1016,5164,13957,20,24,429,799
อุบลราชธานี,2566,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,13339,39768,607,1599,837,2291,11402,33781,32,50,1000,2047
อุบลราชธานี,2566,F17,เสพบุหรี่,Tobacco_Substance_Use,2837,7617,125,287,250,461,2358,6481,5,13,182,375
อุบลราชธานี,2566,F20,โรคจิตเภท,Schizophrenia,13398,60839,408,1787,431,1607,11950,54729,65,219,877,2497
อุบลราชธานี,2566,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,17805,77678,667,2864,671,2290,15621,68854,94,304,1274,3366
อุบลราชธานี,2566,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,12895,45023,1490,5422,846,2872,10073,34451,84,230,910,2048
อุบลราชธานี,2566,F31,ไบโพล่า,Bipolar_Disorder,1167,5446,191,959,89,382,843,3839,7,36,109,230
อุบลราชธานี,2566,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,11775,39596,1302,4475,761,2499,9270,30618,78,194,798,1810
อุบลราชธานี,2566,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,19044,45916,2429,6346,1192,2757,14393,34172,338,652,1076,1989
อุบลราชธานี,2566,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,11231,20928,2120,4220,530,879,8312,15269,59,83,291,477
อุบลราชธานี,2566,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,385,1198,28,77,25,59,270,950,0,0,75,112
อุบลราชธานี,2566,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,1467,6044,54,175,23,89,1305,5461,2,4,103,315
อุบลราชธานี,2566,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,3215,11919,334,1363,213,690,2604,9487,20,27,201,352
อุบลราชธานี,2566,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,372,1084,27,90,10,55,324,884,0,0,16,55
อุบลราชธานี,2566,F84,โรคออติสติก,Autism_Spectrum_Disorder,1595,7726,210,977,60,302,1294,6268,3,3,98,176
อุบลราชธานี,2566,F90,โรคสมาธิสั้น,ADHD,5244,19177,602,2345,138,586,4434,15818,5,10,207,418
อุบลราชธานี,2566,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,5646,20234,651,2470,158,653,4731,16596,8,13,253,502
อุบลราชธานี,2566,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,46,117,0,0,0,0,42,109,0,0,4,8
อุบลราชธานี,2566,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,417,539,54,70,55,61,296,390,1,1,16,17
อุบลราชธานี,2567,F00-F03,โรคสมองเสื่อม,Dementia,2135,5266,774,2128,56,100,1233,2808,19,36,85,194
อุบลราชธานี,2567,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,4215,11342,1070,2910,161,396,2843,7622,35,73,171,341
อุบลราชธานี,2567,F10,เสพสุรา,Alcohol_Substance_Use,7312,19263,463,1284,1217,1852,5479,15492,27,30,368,605
